x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
47.931788,51.445628,Europe,Russian Federation,25/09/2019,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51,149,2,248.5527282,0.000305944,1
69.124549,55.569204,Europe,Russian Federation,19/09/2019,45.1,8.4,31,0,3.5,-25.2,-21,-16.8,1.2,4.74,150,2,156.6862837,0.001739317,1
69.3242,55.4583,Europe,Russian Federation,19/09/2019,42.4,8.4,31,0,3.6,-25.1,-20.9,-16.7,1.2,4.47,151,2,131.9575087,0.006330749,1
91.876,22.298,Asia,Bangladesh,15/09/2019,30.5,11.3,0,2.5,3.9,14,19.6,25.3,15.3,0,149,4,1719.636454,32.81055754,1
35.1877,31.5729,Asia,West Bank,9/9/2019,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17,10.2,13.65,160,9,9.145161204,0,1
72.75143,54.55858,Europe,Russian Federation,4/9/2019,46.2,8.2,31,0,4.3,-25.7,-21.6,-17.5,1.1,4.43,153,2,262.0668625,0.004211262,1
72.12187,54.98289,Europe,Russian Federation,4/9/2019,47,8.3,31,0,4.3,-25.5,-21.3,-17.2,1.1,2.42,153,2,260.1336625,0.004758991,1
75.814718,54.955058,Europe,Russian Federation,4/9/2019,36.9,8.6,31,0,5.8,-27.3,-23,-18.7,1,3.3,151,9,185.7729687,0.001074965,1
70.16604,55.937892,Europe,Russian Federation,27/08/2019,47.8,8.3,31,0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021,1
69.20185,55.6713,Europe,Russian Federation,27/08/2019,45.1,8.4,31,0,3.5,-25.2,-21,-16.8,1.2,4.74,150,2,156.6862837,0.001739317,1
78.649628,54.917817,Europe,Russian Federation,27/08/2019,52.7,8,31,0,6.1,-26.5,-22.5,-18.5,1,3.75,155,2,175.6994304,0.002391627,1
74.871614,54.81272,Europe,Russian Federation,21/08/2019,44.5,8.4,31,0,5.1,-26.2,-22,-17.8,1,2.66,152,2,213.1550973,0.002538065,1
78.096482,54.92527,Europe,Russian Federation,21/08/2019,53.2,8,31,0,6,-26.6,-22.6,-18.6,1,3.02,154,2,144.7600887,0.000451896,1
